DATE_KEY,YEAR,MONTH,DAY,WEEKDAY,IS_WEEKDAY,FISCAL_YEAR,FISCAL_QUARTER,FISCAL_YEAR_LABEL
2015-04-01,2015,4,1,水,1,2015,Q1,2015年度
2015-04-02,2015,4,2,木,1,2015,Q1,2015年度
2015-04-03,2015,4,3,金,1,2015,Q1,2015年度
2015-04-04,2015,4,4,土,0,2015,Q1,2015年度
2015-04-05,2015,4,5,日,0,2015,Q1,2015年度
2015-04-06,2015,4,6,月,1,2015,Q1,2015年度
2015-04-07,2015,4,7,火,1,2015,Q1,2015年度
2015-04-08,2015,4,8,水,1,2015,Q1,2015年度
2015-04-09,2015,4,9,木,1,2015,Q1,2015年度
2015-04-10,2015,4,10,金,1,2015,Q1,2015年度
2015-04-11,2015,4,11,土,0,2015,Q1,2015年度
2015-04-12,2015,4,12,日,0,2015,Q1,2015年度
2015-04-13,2015,4,13,月,1,2015,Q1,2015年度
2015-04-14,2015,4,14,火,1,2015,Q1,2015年度
2015-04-15,2015,4,15,水,1,2015,Q1,2015年度
2015-04-16,2015,4,16,木,1,2015,Q1,2015年度
2015-04-17,2015,4,17,金,1,2015,Q1,2015年度
2015-04-18,2015,4,18,土,0,2015,Q1,2015年度
2015-04-19,2015,4,19,日,0,2015,Q1,2015年度
2015-04-20,2015,4,20,月,1,2015,Q1,2015年度
2015-04-21,2015,4,21,火,1,2015,Q1,2015年度
2015-04-22,2015,4,22,水,1,2015,Q1,2015年度
2015-04-23,2015,4,23,木,1,2015,Q1,2015年度
2015-04-24,2015,4,24,金,1,2015,Q1,2015年度
2015-04-25,2015,4,25,土,0,2015,Q1,2015年度
2015-04-26,2015,4,26,日,0,2015,Q1,2015年度
2015-04-27,2015,4,27,月,1,2015,Q1,2015年度
2015-04-28,2015,4,28,火,1,2015,Q1,2015年度
2015-04-29,2015,4,29,水,1,2015,Q1,2015年度
2015-04-30,2015,4,30,木,1,2015,Q1,2015年度
2015-05-01,2015,5,1,金,1,2015,Q1,2015年度
2015-05-02,2015,5,2,土,0,2015,Q1,2015年度
2015-05-03,2015,5,3,日,0,2015,Q1,2015年度
2015-05-04,2015,5,4,月,1,2015,Q1,2015年度
2015-05-05,2015,5,5,火,1,2015,Q1,2015年度
2015-05-06,2015,5,6,水,1,2015,Q1,2015年度
2015-05-07,2015,5,7,木,1,2015,Q1,2015年度
2015-05-08,2015,5,8,金,1,2015,Q1,2015年度
2015-05-09,2015,5,9,土,0,2015,Q1,2015年度
2015-05-10,2015,5,10,日,0,2015,Q1,2015年度
2015-05-11,2015,5,11,月,1,2015,Q1,2015年度
2015-05-12,2015,5,12,火,1,2015,Q1,2015年度
2015-05-13,2015,5,13,水,1,2015,Q1,2015年度
2015-05-14,2015,5,14,木,1,2015,Q1,2015年度
2015-05-15,2015,5,15,金,1,2015,Q1,2015年度
2015-05-16,2015,5,16,土,0,2015,Q1,2015年度
2015-05-17,2015,5,17,日,0,2015,Q1,2015年度
2015-05-18,2015,5,18,月,1,2015,Q1,2015年度
2015-05-19,2015,5,19,火,1,2015,Q1,2015年度
2015-05-20,2015,5,20,水,1,2015,Q1,2015年度
2015-05-21,2015,5,21,木,1,2015,Q1,2015年度
2015-05-22,2015,5,22,金,1,2015,Q1,2015年度
2015-05-23,2015,5,23,土,0,2015,Q1,2015年度
2015-05-24,2015,5,24,日,0,2015,Q1,2015年度
2015-05-25,2015,5,25,月,1,2015,Q1,2015年度
2015-05-26,2015,5,26,火,1,2015,Q1,2015年度
2015-05-27,2015,5,27,水,1,2015,Q1,2015年度
2015-05-28,2015,5,28,木,1,2015,Q1,2015年度
2015-05-29,2015,5,29,金,1,2015,Q1,2015年度
2015-05-30,2015,5,30,土,0,2015,Q1,2015年度
2015-05-31,2015,5,31,日,0,2015,Q1,2015年度
2015-06-01,2015,6,1,月,1,2015,Q1,2015年度
2015-06-02,2015,6,2,火,1,2015,Q1,2015年度
2015-06-03,2015,6,3,水,1,2015,Q1,2015年度
2015-06-04,2015,6,4,木,1,2015,Q1,2015年度
2015-06-05,2015,6,5,金,1,2015,Q1,2015年度
2015-06-06,2015,6,6,土,0,2015,Q1,2015年度
2015-06-07,2015,6,7,日,0,2015,Q1,2015年度
2015-06-08,2015,6,8,月,1,2015,Q1,2015年度
2015-06-09,2015,6,9,火,1,2015,Q1,2015年度
2015-06-10,2015,6,10,水,1,2015,Q1,2015年度
2015-06-11,2015,6,11,木,1,2015,Q1,2015年度
2015-06-12,2015,6,12,金,1,2015,Q1,2015年度
2015-06-13,2015,6,13,土,0,2015,Q1,2015年度
2015-06-14,2015,6,14,日,0,2015,Q1,2015年度
2015-06-15,2015,6,15,月,1,2015,Q1,2015年度
2015-06-16,2015,6,16,火,1,2015,Q1,2015年度
2015-06-17,2015,6,17,水,1,2015,Q1,2015年度
2015-06-18,2015,6,18,木,1,2015,Q1,2015年度
2015-06-19,2015,6,19,金,1,2015,Q1,2015年度
2015-06-20,2015,6,20,土,0,2015,Q1,2015年度
2015-06-21,2015,6,21,日,0,2015,Q1,2015年度
2015-06-22,2015,6,22,月,1,2015,Q1,2015年度
2015-06-23,2015,6,23,火,1,2015,Q1,2015年度
2015-06-24,2015,6,24,水,1,2015,Q1,2015年度
2015-06-25,2015,6,25,木,1,2015,Q1,2015年度
2015-06-26,2015,6,26,金,1,2015,Q1,2015年度
2015-06-27,2015,6,27,土,0,2015,Q1,2015年度
2015-06-28,2015,6,28,日,0,2015,Q1,2015年度
2015-06-29,2015,6,29,月,1,2015,Q1,2015年度
2015-06-30,2015,6,30,火,1,2015,Q1,2015年度
2015-07-01,2015,7,1,水,1,2015,Q2,2015年度
2015-07-02,2015,7,2,木,1,2015,Q2,2015年度
2015-07-03,2015,7,3,金,1,2015,Q2,2015年度
2015-07-04,2015,7,4,土,0,2015,Q2,2015年度
2015-07-05,2015,7,5,日,0,2015,Q2,2015年度
2015-07-06,2015,7,6,月,1,2015,Q2,2015年度
2015-07-07,2015,7,7,火,1,2015,Q2,2015年度
2015-07-08,2015,7,8,水,1,2015,Q2,2015年度
2015-07-09,2015,7,9,木,1,2015,Q2,2015年度
2015-07-10,2015,7,10,金,1,2015,Q2,2015年度
2015-07-11,2015,7,11,土,0,2015,Q2,2015年度
2015-07-12,2015,7,12,日,0,2015,Q2,2015年度
2015-07-13,2015,7,13,月,1,2015,Q2,2015年度
2015-07-14,2015,7,14,火,1,2015,Q2,2015年度
2015-07-15,2015,7,15,水,1,2015,Q2,2015年度
2015-07-16,2015,7,16,木,1,2015,Q2,2015年度
2015-07-17,2015,7,17,金,1,2015,Q2,2015年度
2015-07-18,2015,7,18,土,0,2015,Q2,2015年度
2015-07-19,2015,7,19,日,0,2015,Q2,2015年度
2015-07-20,2015,7,20,月,1,2015,Q2,2015年度
2015-07-21,2015,7,21,火,1,2015,Q2,2015年度
2015-07-22,2015,7,22,水,1,2015,Q2,2015年度
2015-07-23,2015,7,23,木,1,2015,Q2,2015年度
2015-07-24,2015,7,24,金,1,2015,Q2,2015年度
2015-07-25,2015,7,25,土,0,2015,Q2,2015年度
2015-07-26,2015,7,26,日,0,2015,Q2,2015年度
2015-07-27,2015,7,27,月,1,2015,Q2,2015年度
2015-07-28,2015,7,28,火,1,2015,Q2,2015年度
2015-07-29,2015,7,29,水,1,2015,Q2,2015年度
2015-07-30,2015,7,30,木,1,2015,Q2,2015年度
2015-07-31,2015,7,31,金,1,2015,Q2,2015年度
2015-08-01,2015,8,1,土,0,2015,Q2,2015年度
2015-08-02,2015,8,2,日,0,2015,Q2,2015年度
2015-08-03,2015,8,3,月,1,2015,Q2,2015年度
2015-08-04,2015,8,4,火,1,2015,Q2,2015年度
2015-08-05,2015,8,5,水,1,2015,Q2,2015年度
2015-08-06,2015,8,6,木,1,2015,Q2,2015年度
2015-08-07,2015,8,7,金,1,2015,Q2,2015年度
2015-08-08,2015,8,8,土,0,2015,Q2,2015年度
2015-08-09,2015,8,9,日,0,2015,Q2,2015年度
2015-08-10,2015,8,10,月,1,2015,Q2,2015年度
2015-08-11,2015,8,11,火,1,2015,Q2,2015年度
2015-08-12,2015,8,12,水,1,2015,Q2,2015年度
2015-08-13,2015,8,13,木,1,2015,Q2,2015年度
2015-08-14,2015,8,14,金,1,2015,Q2,2015年度
2015-08-15,2015,8,15,土,0,2015,Q2,2015年度
2015-08-16,2015,8,16,日,0,2015,Q2,2015年度
2015-08-17,2015,8,17,月,1,2015,Q2,2015年度
2015-08-18,2015,8,18,火,1,2015,Q2,2015年度
2015-08-19,2015,8,19,水,1,2015,Q2,2015年度
2015-08-20,2015,8,20,木,1,2015,Q2,2015年度
2015-08-21,2015,8,21,金,1,2015,Q2,2015年度
2015-08-22,2015,8,22,土,0,2015,Q2,2015年度
2015-08-23,2015,8,23,日,0,2015,Q2,2015年度
2015-08-24,2015,8,24,月,1,2015,Q2,2015年度
2015-08-25,2015,8,25,火,1,2015,Q2,2015年度
2015-08-26,2015,8,26,水,1,2015,Q2,2015年度
2015-08-27,2015,8,27,木,1,2015,Q2,2015年度
2015-08-28,2015,8,28,金,1,2015,Q2,2015年度
2015-08-29,2015,8,29,土,0,2015,Q2,2015年度
2015-08-30,2015,8,30,日,0,2015,Q2,2015年度
2015-08-31,2015,8,31,月,1,2015,Q2,2015年度
2015-09-01,2015,9,1,火,1,2015,Q2,2015年度
2015-09-02,2015,9,2,水,1,2015,Q2,2015年度
2015-09-03,2015,9,3,木,1,2015,Q2,2015年度
2015-09-04,2015,9,4,金,1,2015,Q2,2015年度
2015-09-05,2015,9,5,土,0,2015,Q2,2015年度
2015-09-06,2015,9,6,日,0,2015,Q2,2015年度
2015-09-07,2015,9,7,月,1,2015,Q2,2015年度
2015-09-08,2015,9,8,火,1,2015,Q2,2015年度
2015-09-09,2015,9,9,水,1,2015,Q2,2015年度
2015-09-10,2015,9,10,木,1,2015,Q2,2015年度
2015-09-11,2015,9,11,金,1,2015,Q2,2015年度
2015-09-12,2015,9,12,土,0,2015,Q2,2015年度
2015-09-13,2015,9,13,日,0,2015,Q2,2015年度
2015-09-14,2015,9,14,月,1,2015,Q2,2015年度
2015-09-15,2015,9,15,火,1,2015,Q2,2015年度
2015-09-16,2015,9,16,水,1,2015,Q2,2015年度
2015-09-17,2015,9,17,木,1,2015,Q2,2015年度
2015-09-18,2015,9,18,金,1,2015,Q2,2015年度
2015-09-19,2015,9,19,土,0,2015,Q2,2015年度
2015-09-20,2015,9,20,日,0,2015,Q2,2015年度
2015-09-21,2015,9,21,月,1,2015,Q2,2015年度
2015-09-22,2015,9,22,火,1,2015,Q2,2015年度
2015-09-23,2015,9,23,水,1,2015,Q2,2015年度
2015-09-24,2015,9,24,木,1,2015,Q2,2015年度
2015-09-25,2015,9,25,金,1,2015,Q2,2015年度
2015-09-26,2015,9,26,土,0,2015,Q2,2015年度
2015-09-27,2015,9,27,日,0,2015,Q2,2015年度
2015-09-28,2015,9,28,月,1,2015,Q2,2015年度
2015-09-29,2015,9,29,火,1,2015,Q2,2015年度
2015-09-30,2015,9,30,水,1,2015,Q2,2015年度
2015-10-01,2015,10,1,木,1,2015,Q3,2015年度
2015-10-02,2015,10,2,金,1,2015,Q3,2015年度
2015-10-03,2015,10,3,土,0,2015,Q3,2015年度
2015-10-04,2015,10,4,日,0,2015,Q3,2015年度
2015-10-05,2015,10,5,月,1,2015,Q3,2015年度
2015-10-06,2015,10,6,火,1,2015,Q3,2015年度
2015-10-07,2015,10,7,水,1,2015,Q3,2015年度
2015-10-08,2015,10,8,木,1,2015,Q3,2015年度
2015-10-09,2015,10,9,金,1,2015,Q3,2015年度
2015-10-10,2015,10,10,土,0,2015,Q3,2015年度
2015-10-11,2015,10,11,日,0,2015,Q3,2015年度
