OPP_ID,DATE_KEY,ACCOUNT_ID,SEGMENT_ID,PRODUCT_ID,SALES_REP_ID,OPP_NAME,STAGE,STAGE_ID,AMOUNT,PROBABILITY,EXPECTED_CLOSE_DATE,CLOSE_DATE,DAYS_IN_STAGE,IS_WON,IS_LOST,IS_OPEN,COMPETITOR,CROSS_SELL_POTENTIAL,ACTIVITY_COUNT,CREATED_DATE
OPP-1001,2015-06-11,A014,SEG001,P001,SR01,ダイキン工業 プレート式熱交換器（標準）,失注,8,41000000,0,2015-09-19,2015-09-19,0,0,1,0,なし,0,13,2015-06-11
OPP-1002,2015-05-18,A023,SEG001,P001,SR10,日本製鉄 プレート式熱交換器（標準）,受注,7,18000000,100,2015-10-24,2015-10-24,0,1,0,0,なし,0,0,2015-05-18
OPP-1003,2016-01-27,A023,SEG001,P005,SR02,日本製鉄 船舶用熱交換器,受注,7,196000000,100,2016-02-27,2016-02-27,0,1,0,0,不明,0,5,2016-01-27
OPP-1004,2015-09-20,A014,SEG001,P004,SR03,ダイキン工業 ヒートポンプ用熱交換器,受注,7,96000000,100,2016-01-25,2016-01-25,0,1,0,0,アルファラバル,0,8,2015-09-20
OPP-1005,2015-11-22,A014,SEG001,P003,SR10,ダイキン工業 CCS用熱交換器 SX-80,失注,8,1037000000,0,2016-01-23,2016-01-23,0,0,1,0,アルファラバル,0,4,2015-11-22
OPP-1006,2016-03-26,A019,SEG001,P003,SR10,住友化学 CCS用熱交換器 SX-80,受注,7,785000000,100,2016-06-22,2016-06-22,0,1,0,0,不明,1,2,2016-03-26
OPP-1007,2015-11-19,A007,SEG001,P001,SR02,味の素エンジニアリング プレート式熱交換器（標準）,失注,8,56000000,0,2016-01-18,2016-01-18,0,0,1,0,GEA,1,8,2015-11-19
OPP-1008,2016-03-15,A014,SEG001,P003,SR02,ダイキン工業 CCS用熱交換器 SX-80,失注,8,922000000,0,2016-06-14,2016-06-14,0,0,1,0,なし,0,5,2016-03-15
OPP-1009,2015-08-17,A009,SEG001,P005,SR02,旭化成エンジニアリング 船舶用熱交換器,失注,8,329000000,0,2015-11-20,2015-11-20,0,0,1,0,なし,0,6,2015-08-17
OPP-1010,2015-09-09,A012,SEG001,P003,SR01,丸紅プラント CCS用熱交換器 SX-80,受注,7,1053000000,100,2015-10-25,2015-10-25,0,1,0,0,GEA,1,14,2015-09-09
OPP-1011,2016-02-24,A025,SEG001,P003,SR02,中部電力 CCS用熱交換器 SX-80,受注,7,585000000,100,2016-05-31,2016-05-31,0,1,0,0,GEA,0,6,2016-02-24
OPP-1012,2015-11-06,A014,SEG001,P005,SR10,ダイキン工業 船舶用熱交換器,失注,8,485000000,0,2016-01-10,2016-01-10,0,0,1,0,SPX FLOW,0,1,2015-11-06
OPP-1013,2015-04-25,A025,SEG001,P002,SR10,中部電力 プレート式熱交換器（大型）,失注,8,175000000,0,2015-05-28,2015-05-28,0,0,1,0,なし,0,1,2015-04-25
OPP-1014,2016-01-31,A005,SEG001,P004,SR10,ENEOS ヒートポンプ用熱交換器,失注,8,171000000,0,2016-04-21,2016-04-21,0,0,1,0,SPX FLOW,0,4,2016-01-31
